Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos grunniens voucher Zhongdian11 clone ZD11 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29632,29910,100%,0.0,99.83,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375835.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4X6DEZ016"",""OK375835.1"")"
"Bos grunniens voucher Zhongdian19 clone ZD19 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29632,29910,100%,0.0,99.83,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375843.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4X6DEZ016"",""OK375843.1"")"
"Bos grunniens voucher Zhongdian7 clone ZD7 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29626,29905,100%,0.0,99.82,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375831.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4X6DEZ016"",""OK375831.1"")"
"Bos grunniens voucher Zhongdian24 clone ZD24 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29626,29905,100%,0.0,99.82,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375848.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4X6DEZ016"",""OK375848.1"")"
"Bos grunniens voucher Sunan17 clone SN17 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29626,29905,100%,0.0,99.82,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375867.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4X6DEZ016"",""OK375867.1"")"
"Bos grunniens voucher Zhongdian17 clone ZD17 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29626,29905,100%,0.0,99.82,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375841.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4X6DEZ016"",""OK375841.1"")"
"Bos grunniens voucher Xizanggaoshan25 clone XZGS25 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29626,29905,100%,0.0,99.82,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375824.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4X6DEZ016"",""OK375824.1"")"
"Bos grunniens voucher Zhongdian5 clone ZD5 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29626,29905,100%,0.0,99.82,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375829.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4X6DEZ016"",""OK375829.1"")"
"Bos grunniens voucher Zhongdian10 clone ZD10 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29623,29901,100%,0.0,99.81,16324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375834.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4X6DEZ016"",""OK375834.1"")"
"Bos grunniens voucher Zhongdian15 clone ZD15 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29623,29901,100%,0.0,99.81,16324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375839.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A4X6DEZ016"",""OK375839.1"")"



		


