Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos grunniens voucher Sunan9 clone SN9 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,17032,29694,99%,0.0,99.73,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375859.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4KSMM4016"",""OK375859.1"")"
"Bos grunniens voucher Sunan1 clone SN1 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,17032,29689,99%,0.0,99.73,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375851.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4KSMM4016"",""OK375851.1"")"
"Bos grunniens voucher Zhongdian11 clone ZD11 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,17032,29705,99%,0.0,99.73,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375835.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4KSMM4016"",""OK375835.1"")"
"Bos grunniens voucher Zhongdian24 clone ZD24 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,17032,29700,99%,0.0,99.73,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375848.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4KSMM4016"",""OK375848.1"")"
"Bos grunniens voucher Sunan17 clone SN17 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,17032,29700,99%,0.0,99.73,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375867.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4KSMM4016"",""OK375867.1"")"
"Bos grunniens voucher Zhongdian10 clone ZD10 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,17032,29694,99%,0.0,99.73,16324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375834.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4KSMM4016"",""OK375834.1"")"
"Bos grunniens voucher Zhongdian17 clone ZD17 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,17032,29700,99%,0.0,99.73,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375841.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4KSMM4016"",""OK375841.1"")"
"Bos grunniens voucher Zhongdian19 clone ZD19 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,17032,29705,99%,0.0,99.73,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375843.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4KSMM4016"",""OK375843.1"")"
"Bos grunniens voucher Zhongdian15 clone ZD15 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,17032,29694,99%,0.0,99.73,16324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375839.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4KSMM4016"",""OK375839.1"")"
"Bos grunniens x Bos taurus isolate CY mitochondrion, complete genome",Bos grunniens x Bos taurus,dzo,331036,17032,29655,99%,0.0,99.73,16325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ674795.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A4KSMM4016"",""OQ674795.1"")"



		


