Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos taurus isolate Bos31 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,8890,28926,97%,0.0,99.59,16341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU177827.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4YCWT7014"",""EU177827.1"")"
"Bos taurus mitochondrion, complete genome",Bos taurus,domestic cattle,9913,8890,28926,97%,0.0,99.59,16341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP780079.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4YCWT7014"",""PP780079.1"")"
"Bos taurus isolate Bos54 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,8889,28927,97%,0.0,99.59,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU177834.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4YCWT7014"",""EU177834.1"")"
"Bos taurus isolate Bos53 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,8889,28931,97%,0.0,99.59,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU177833.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4YCWT7014"",""EU177833.1"")"
"Bos taurus isolate CCHF_110 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,8889,28942,97%,0.0,99.59,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901482.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4YCWT7014"",""MZ901482.1"")"
"Bos taurus isolate DCD113.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,8887,28951,97%,0.0,99.57,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ512990.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4YCWT7014"",""OQ512990.1"")"
"Bos taurus breed Hungarian Grey mitochondrion, complete genome",Bos taurus,domestic cattle,9913,8885,28948,97%,0.0,99.57,16341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ129207.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4YCWT7014"",""GQ129207.1"")"
"Bos taurus isolate DCD124.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,8885,28950,97%,0.0,99.57,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ512994.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4YCWT7014"",""OQ512994.1"")"
"Bos taurus isolate DCD121.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,8885,28950,97%,0.0,99.57,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ512993.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4YCWT7014"",""OQ512993.1"")"
"Bos taurus isolate WL111.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,8885,28946,97%,0.0,99.57,16341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ513044.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A4YCWT7014"",""OQ513044.1"")"



		


