Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos taurus isolate DJ47 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30090,30090,100%,0.0,99.87,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576746.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4MY1JU016"",""MT576746.1"")"
"Bos taurus isolate ND30 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30084,30084,100%,0.0,99.87,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN714190.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4MY1JU016"",""MN714190.1"")"
"Bos taurus isolate SRR934395 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30079,30079,100%,0.0,99.86,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576800.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4MY1JU016"",""MT576800.1"")"
"Bos taurus isolate RKZ7 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30079,30079,100%,0.0,99.86,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576798.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4MY1JU016"",""MT576798.1"")"
"Bos taurus isolate KC9 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30079,30079,100%,0.0,99.86,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ124379.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4MY1JU016"",""DQ124379.1"")"
"Bos taurus isolate DJ30 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30079,30079,100%,0.0,99.86,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576732.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4MY1JU016"",""MT576732.1"")"
"Bos taurus isolate Bos52 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30077,30077,100%,0.0,99.86,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU177832.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4MY1JU016"",""EU177832.1"")"
"Bos taurus isolate ND7 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30077,30077,100%,0.0,99.86,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN714184.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4MY1JU016"",""MN714184.1"")"
"Bos taurus isolate ERR2734952 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30077,30077,100%,0.0,99.86,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576756.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4MY1JU016"",""MT576756.1"")"
"Bos taurus isolate SM09C mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30075,30075,100%,0.0,99.86,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ924188.2?report=genbank&log$=nucltop&blast_rank=10&RID=3A4MY1JU016"",""OQ924188.2"")"



		


