Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos taurus isolate SRR934400 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29385,29925,100%,0.0,99.82,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576802.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4SRSCG016"",""MT576802.1"")"
"Bos taurus isolate KC11 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29383,29917,100%,0.0,99.82,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ124381.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4SRSCG016"",""DQ124381.1"")"
"Bos taurus isolate FC2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29383,29912,100%,0.0,99.82,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ124388.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4SRSCG016"",""DQ124388.1"")"
"Bos taurus isolate CAEB_14 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29379,29919,100%,0.0,99.81,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901395.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4SRSCG016"",""MZ901395.1"")"
"Bos taurus isolate DCD118.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29377,29895,100%,0.0,99.81,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ512992.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4SRSCG016"",""OQ512992.1"")"
"Bos taurus isolate KC10 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29377,29917,100%,0.0,99.81,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ124380.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4SRSCG016"",""DQ124380.1"")"
"Bos taurus isolate KC3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29372,29895,100%,0.0,99.81,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ124373.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4SRSCG016"",""DQ124373.1"")"
"Bos taurus isolate CGKT_2 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29372,29906,100%,0.0,99.81,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901641.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4SRSCG016"",""MZ901641.1"")"
"Bos taurus isolate KC9 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29372,29901,100%,0.0,99.81,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ124379.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4SRSCG016"",""DQ124379.1"")"
"Bos taurus isolate KC12 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29368,29908,100%,0.0,99.80,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ124382.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A4SRSCG016"",""DQ124382.1"")"



		


