Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos grunniens voucher Gannan23 clone GN23 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29538,29748,99%,0.0,99.95,16322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375573.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A47GSFR014"",""OK375573.1"")"
"Bos grunniens voucher Zhongdian21 clone ZD21 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29532,29742,99%,0.0,99.94,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375845.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A47GSFR014"",""OK375845.1"")"
"Bos grunniens voucher Jiulong8 clone JL8 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29532,29742,99%,0.0,99.94,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375608.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A47GSFR014"",""OK375608.1"")"
"Bos grunniens voucher Gannan24 clone GN24 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29532,29742,99%,0.0,99.94,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375574.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A47GSFR014"",""OK375574.1"")"
"Bos grunniens voucher Pali7 clone PL7 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29532,29742,99%,0.0,99.94,16322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375732.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A47GSFR014"",""OK375732.1"")"
"Bos grunniens isolate HY4 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29532,29742,99%,0.0,99.94,16322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ464303.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A47GSFR014"",""GQ464303.1"")"
"Bos grunniens voucher Pali13 clone PL13 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29532,29742,99%,0.0,99.94,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375738.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A47GSFR014"",""OK375738.1"")"
"Bos grunniens voucher Pali25 clone PL25 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29532,29742,99%,0.0,99.94,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375750.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A47GSFR014"",""OK375750.1"")"
"Bos grunniens voucher Muli7 clone ML7 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29532,29742,99%,0.0,99.94,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375682.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A47GSFR014"",""OK375682.1"")"
"Bos grunniens voucher Pali16 clone PL16 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29532,29742,99%,0.0,99.94,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375741.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A47GSFR014"",""OK375741.1"")"



		


