Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos taurus isolate BHB_103 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30153,30153,100%,0.0,99.98,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901389.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4ABCMV016"",""MZ901389.1"")"
"Bos taurus isolate Bos52 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30147,30147,100%,0.0,99.98,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU177832.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4ABCMV016"",""EU177832.1"")"
"Bos taurus isolate CCHF_11 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30147,30147,100%,0.0,99.98,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901481.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4ABCMV016"",""MZ901481.1"")"
"Bos taurus isolate CCIG_186 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30147,30147,100%,0.0,99.98,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901605.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4ABCMV016"",""MZ901605.1"")"
"Bos taurus isolate CDY328 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30147,30147,100%,0.0,99.98,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN200882.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4ABCMV016"",""MN200882.1"")"
"Bos taurus isolate CGKT_2 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30143,30143,100%,0.0,99.97,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901641.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4ABCMV016"",""MZ901641.1"")"
"Bos taurus isolate DBB_25 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30143,30143,100%,0.0,99.97,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901668.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4ABCMV016"",""MZ901668.1"")"
"Bos taurus isolate BG14_19i mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30143,30143,100%,0.0,99.97,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR766860.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4ABCMV016"",""OR766860.1"")"
"Bos taurus isolate MY86.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30142,30142,100%,0.0,99.97,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ513038.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4ABCMV016"",""OQ513038.1"")"
"Bos taurus isolate DCD113.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30140,30140,100%,0.0,99.96,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ512990.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A4ABCMV016"",""OQ512990.1"")"



		


