Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos grunniens voucher Muli14 clone ML14 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,30066,30066,100%,0.0,99.99,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375689.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4HAAKG016"",""OK375689.1"")"
"Bos grunniens voucher Niangya11 clone NY11 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,30066,30066,100%,0.0,99.99,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375711.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4HAAKG016"",""OK375711.1"")"
"Bos grunniens voucher Muli24 clone ML24 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,30066,30066,100%,0.0,99.99,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375699.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4HAAKG016"",""OK375699.1"")"
"Bos grunniens voucher Niangya17 clone NY17 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,30066,30066,100%,0.0,99.99,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375717.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4HAAKG016"",""OK375717.1"")"
"Bos grunniens voucher Sunan6 clone SN6 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,30066,30066,100%,0.0,99.99,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375856.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4HAAKG016"",""OK375856.1"")"
"Bos grunniens voucher Sibu10 clone SB10 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,30066,30066,100%,0.0,99.99,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375760.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4HAAKG016"",""OK375760.1"")"
"Bos grunniens voucher Zhongdian11 clone ZD11 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,30066,30066,100%,0.0,99.99,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375835.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4HAAKG016"",""OK375835.1"")"
"Bos grunniens voucher Zhongdian19 clone ZD19 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,30066,30066,100%,0.0,99.99,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375843.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4HAAKG016"",""OK375843.1"")"
"Bos grunniens voucher Pali4 clone PL4 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,30066,30066,100%,0.0,99.99,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375729.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4HAAKG016"",""OK375729.1"")"
"Bos grunniens voucher Pali12 clone PL12 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,30066,30066,100%,0.0,99.99,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375737.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A4HAAKG016"",""OK375737.1"")"



		


