Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos taurus isolate ND7 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30155,30155,100%,0.0,99.98,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN714184.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4ESMGK016"",""MN714184.1"")"
"Bos taurus isolate DJ47 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30155,30155,100%,0.0,99.98,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576746.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4ESMGK016"",""MT576746.1"")"
"Bos taurus isolate CDY335 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30149,30149,100%,0.0,99.98,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN200885.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4ESMGK016"",""MN200885.1"")"
"Bos taurus isolate CDY333 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30149,30149,100%,0.0,99.98,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN200883.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4ESMGK016"",""MN200883.1"")"
"Bos taurus isolate ND30 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30149,30149,100%,0.0,99.98,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN714190.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4ESMGK016"",""MN714190.1"")"
"Bos taurus isolate LLHN25 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30149,30149,100%,0.0,99.98,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN714177.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4ESMGK016"",""MN714177.1"")"
"Bos taurus isolate ERR2734952 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30143,30143,100%,0.0,99.97,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576756.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4ESMGK016"",""MT576756.1"")"
"Bos taurus isolate DJ36 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30143,30143,100%,0.0,99.97,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576736.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4ESMGK016"",""MT576736.1"")"
"Bos taurus isolate DJ30 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30143,30143,100%,0.0,99.97,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576732.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4ESMGK016"",""MT576732.1"")"
"Bos taurus isolate DJ51 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30143,30143,100%,0.0,99.97,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576750.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A4ESMGK016"",""MT576750.1"")"



		


