Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos taurus isolate Mishima01 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30147,30147,100%,0.0,99.97,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576782.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4CWW3V016"",""MT576782.1"")"
"Bos taurus isolate LLHN37 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30147,30147,100%,0.0,99.97,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN714182.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4CWW3V016"",""MN714182.1"")"
"Bos taurus isolate Mishima02 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30143,30143,100%,0.0,99.96,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576783.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4CWW3V016"",""MT576783.1"")"
"Bos taurus isolate Ancient05 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30143,30143,100%,0.0,99.96,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576708.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4CWW3V016"",""MT576708.1"")"
"Bos taurus isolate DL4.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30142,30142,100%,0.0,99.96,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ513007.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4CWW3V016"",""OQ513007.1"")"
"Bos taurus isolate Mishima07 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30142,30142,100%,0.0,99.96,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576788.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4CWW3V016"",""MT576788.1"")"
"Bos taurus isolate Mishima04 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30140,30140,100%,0.0,99.96,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576785.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4CWW3V016"",""MT576785.1"")"
"Bos taurus isolate CDY207 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30138,30138,100%,0.0,99.96,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN200841.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4CWW3V016"",""MN200841.1"")"
"Bos taurus isolate LLHN38 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30136,30136,100%,0.0,99.96,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN714183.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4CWW3V016"",""MN714183.1"")"
"Bos taurus isolate CDY216 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30136,30136,100%,0.0,99.96,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN200842.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A4CWW3V016"",""MN200842.1"")"



		


