Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos taurus isolate DCD113.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,3347,27364,95%,0.0,96.27,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ512990.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A50UBYF014"",""OQ512990.1"")"
"Bos taurus isolate Bos54 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,3347,27364,95%,0.0,96.27,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU177834.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A50UBYF014"",""EU177834.1"")"
"Bos taurus isolate DL7.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,3347,27306,95%,0.0,96.27,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ513010.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A50UBYF014"",""OQ513010.1"")"
"Bos taurus isolate Bos53 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,3347,27367,95%,0.0,96.27,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU177833.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A50UBYF014"",""EU177833.1"")"
"Bos taurus isolate MY78.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,3347,27312,95%,0.0,96.27,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ513033.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A50UBYF014"",""OQ513033.1"")"
"Bos taurus isolate MY86.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,3347,27364,95%,0.0,96.27,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ513038.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A50UBYF014"",""OQ513038.1"")"
"Bos taurus isolate CCHF_110 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,3347,27362,95%,0.0,96.27,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901482.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A50UBYF014"",""MZ901482.1"")"
"Bos taurus isolate GEM50.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,3347,27267,94%,0.0,96.27,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ513016.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A50UBYF014"",""OQ513016.1"")"
"Bos taurus isolate DJ50 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,3341,27362,95%,0.0,96.22,16341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576749.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A50UBYF014"",""MT576749.1"")"
"Bos taurus 20230224_TCRDL_Btau mitochondrial DNA, complete genome",Bos taurus,domestic cattle,9913,3341,27350,95%,0.0,96.22,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC880087.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A50UBYF014"",""LC880087.1"")"



		


