Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos grunniens mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29715,29715,100%,0.0,99.48,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP598192.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4P40BX014"",""OP598192.1"")"
"Bos grunniens voucher Jiulong19 clone JL19 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29704,29704,100%,0.0,99.47,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375619.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4P40BX014"",""OK375619.1"")"
"Bos grunniens voucher Zhongdian11 clone ZD11 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29704,29704,100%,0.0,99.47,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375835.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4P40BX014"",""OK375835.1"")"
"Bos grunniens voucher Zhongdian19 clone ZD19 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29704,29704,100%,0.0,99.47,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375843.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4P40BX014"",""OK375843.1"")"
"Bos grunniens voucher Changtai11 clone CT11 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29698,29698,100%,0.0,99.46,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375536.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4P40BX014"",""OK375536.1"")"
"Bos grunniens voucher Zhongdian24 clone ZD24 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29698,29698,100%,0.0,99.46,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375848.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4P40BX014"",""OK375848.1"")"
"Bos grunniens voucher Sunan17 clone SN17 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29698,29698,100%,0.0,99.46,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375867.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4P40BX014"",""OK375867.1"")"
"Bos grunniens voucher Zhongdian17 clone ZD17 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29698,29698,100%,0.0,99.46,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375841.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4P40BX014"",""OK375841.1"")"
"Bos grunniens voucher Jiulong2 clone JL2 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29698,29698,100%,0.0,99.46,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375602.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4P40BX014"",""OK375602.1"")"
"Bos grunniens voucher Zhongdian15 clone ZD15 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,29693,29693,100%,0.0,99.46,16324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375839.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A4P40BX014"",""OK375839.1"")"



		


