Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos taurus isolate CDY333 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29263,29661,99%,0.0,99.57,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN200883.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4W7RWJ016"",""MN200883.1"")"
"Bos taurus isolate DJ51 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29263,29672,99%,0.0,99.57,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576750.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4W7RWJ016"",""MT576750.1"")"
"Bos taurus isolate DJ54 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29259,29668,99%,0.0,99.57,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576753.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4W7RWJ016"",""MT576753.1"")"
"Bos taurus isolate RK21 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29257,29666,99%,0.0,99.57,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576794.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4W7RWJ016"",""MT576794.1"")"
"Bos taurus isolate DJ47 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29257,29666,99%,0.0,99.57,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576746.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4W7RWJ016"",""MT576746.1"")"
"Bos taurus isolate ND7 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29255,29664,99%,0.0,99.57,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN714184.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4W7RWJ016"",""MN714184.1"")"
"Bos taurus isolate CDY427 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29255,29653,99%,0.0,99.56,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN200923.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4W7RWJ016"",""MN200923.1"")"
"Bos taurus isolate DJ44 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29252,29661,99%,0.0,99.56,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576743.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4W7RWJ016"",""MT576743.1"")"
"Bos taurus isolate ND30 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29252,29661,99%,0.0,99.56,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN714190.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4W7RWJ016"",""MN714190.1"")"
"Bos taurus isolate LLHN25 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29252,29661,99%,0.0,99.56,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN714177.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A4W7RWJ016"",""MN714177.1"")"



		


