Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos taurus isolate CGKT_2 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29508,29508,100%,0.0,98.92,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901641.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A51U24N014"",""MZ901641.1"")"
"Bos taurus isolate BG14_19i mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29505,29505,100%,0.0,98.92,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR766860.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A51U24N014"",""OR766860.1"")"
"Bos taurus isolate CCIG_186 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29501,29501,100%,0.0,98.92,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901605.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A51U24N014"",""MZ901605.1"")"
"Bos taurus isolate DCD118.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29497,29497,100%,0.0,98.91,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ512992.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A51U24N014"",""OQ512992.1"")"
"Bos taurus isolate DCD113.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29493,29493,100%,0.0,98.90,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ512990.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A51U24N014"",""OQ512990.1"")"
"Bos taurus isolate CCIG_70 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29493,29493,100%,0.0,98.90,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901610.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A51U24N014"",""MZ901610.1"")"
"Bos taurus isolate DL6.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29488,29488,100%,0.0,98.90,16342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ513009.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A51U24N014"",""OQ513009.1"")"
"Bos taurus isolate GEM55.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29488,29488,100%,0.0,98.90,16342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ513020.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A51U24N014"",""OQ513020.1"")"
"Bos taurus isolate DL9.2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29488,29488,100%,0.0,98.90,16342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ513012.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A51U24N014"",""OQ513012.1"")"
"Bos taurus isolate K_119 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,29488,29488,100%,0.0,98.90,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901687.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A51U24N014"",""MZ901687.1"")"



		


