Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos grunniens voucher Zhongdian20 clone ZD20 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,1592,20368,72%,0.0,95.10,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375844.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4FXY1B016"",""OK375844.1"")"
"Bos grunniens voucher Sunan9 clone SN9 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,1592,20401,72%,0.0,95.10,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375859.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4FXY1B016"",""OK375859.1"")"
"Bos grunniens voucher Sunan14 clone SN14 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,1592,20396,72%,0.0,95.10,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375864.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4FXY1B016"",""OK375864.1"")"
"Bos grunniens voucher Zhongdian24 clone ZD24 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,1592,20396,72%,0.0,95.10,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375848.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4FXY1B016"",""OK375848.1"")"
"Bos grunniens voucher Sunan17 clone SN17 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,1592,20401,72%,0.0,95.10,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375867.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4FXY1B016"",""OK375867.1"")"
"Bos grunniens isolate H5 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,1592,20390,72%,0.0,95.10,16324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR085999.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4FXY1B016"",""OR085999.1"")"
"Bos grunniens voucher Zhongdian25 clone ZD25 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,1592,20401,72%,0.0,95.10,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375849.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4FXY1B016"",""OK375849.1"")"
"Bos grunniens voucher Zhongdian19 clone ZD19 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,1592,20401,72%,0.0,95.10,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375843.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4FXY1B016"",""OK375843.1"")"
"Bos grunniens x Bos taurus isolate CY mitochondrion, complete genome",Bos grunniens x Bos taurus,dzo,331036,1592,20351,72%,0.0,95.10,16325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ674795.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4FXY1B016"",""OQ674795.1"")"
"Bos grunniens breed Arunachali mitochondrion, complete genome",Bos grunniens,domestic yak,30521,1592,20404,72%,0.0,95.10,16324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP744587.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A4FXY1B016"",""PP744587.1"")"



		


