Z9864,EU177827.1,99.588,4856,20,0,313,5168,313,5168,0.0,8890
Z9864,EU177827.1,99.538,3248,15,0,5244,8491,5244,8491,0.0,5943
Z9864,EU177827.1,98.960,2499,26,0,11746,14244,11746,14244,0.0,4514
Z9864,EU177827.1,99.762,1681,4,0,8522,10202,8522,10202,0.0,3090
Z9864,EU177827.1,100.000,1593,0,0,14302,15894,14302,15894,0.0,2942
Z9864,EU177827.1,97.940,1456,30,0,10257,11712,10257,11712,0.0,2573
Z9864,EU177827.1,98.780,246,3,0,16094,16339,16094,16339,4.64e-119,438
Z9864,EU177827.1,100.000,168,0,0,1,168,1,168,1.06e-80,311
Z9864,EU177827.1,98.387,62,1,0,206,267,206,267,1.15e-20,111
Z9864,EU177827.1,100.000,58,0,0,15934,15991,15934,15991,1.49e-19,108
Z9864,PP780079.1,99.588,4856,20,0,313,5168,313,5168,0.0,8890
Z9864,PP780079.1,99.538,3248,15,0,5244,8491,5244,8491,0.0,5943
Z9864,PP780079.1,98.960,2499,26,0,11746,14244,11746,14244,0.0,4514
Z9864,PP780079.1,99.762,1681,4,0,8522,10202,8522,10202,0.0,3090
Z9864,PP780079.1,100.000,1593,0,0,14302,15894,14302,15894,0.0,2942
Z9864,PP780079.1,98.008,1456,29,0,10257,11712,10257,11712,0.0,2579
Z9864,PP780079.1,98.374,246,4,0,16094,16339,16094,16339,2.16e-117,433
Z9864,PP780079.1,100.000,168,0,0,1,168,1,168,1.06e-80,311
Z9864,PP780079.1,98.387,62,1,0,206,267,206,267,1.15e-20,111
Z9864,PP780079.1,100.000,58,0,0,15934,15991,15934,15991,1.49e-19,108
Z9864,EU177834.1,99.588,4856,19,1,313,5168,312,5166,0.0,8889
Z9864,EU177834.1,99.507,3248,16,0,5244,8491,5242,8489,0.0,5938
Z9864,EU177834.1,98.960,2499,26,0,11746,14244,11744,14242,0.0,4514
Z9864,EU177834.1,99.762,1681,4,0,8522,10202,8520,10200,0.0,3090
Z9864,EU177834.1,100.000,1593,0,0,14302,15894,14300,15892,0.0,2942
Z9864,EU177834.1,98.008,1456,29,0,10257,11712,10255,11710,0.0,2579
Z9864,EU177834.1,99.593,246,1,0,16094,16339,16092,16337,5.96e-123,451
Z9864,EU177834.1,100.000,170,0,0,1,170,1,170,8.16e-82,315
Z9864,EU177834.1,96.774,62,1,1,206,267,206,266,1.92e-18,104
Z9864,EU177834.1,98.276,58,1,0,15934,15991,15932,15989,6.92e-18,102
Z9864,EU177833.1,99.588,4856,19,1,313,5168,312,5166,0.0,8889
Z9864,EU177833.1,99.507,3248,16,0,5244,8491,5242,8489,0.0,5938
Z9864,EU177833.1,98.960,2499,26,0,11746,14244,11744,14242,0.0,4514
Z9864,EU177833.1,99.762,1681,4,0,8522,10202,8520,10200,0.0,3090
Z9864,EU177833.1,100.000,1593,0,0,14302,15894,14300,15892,0.0,2942
Z9864,EU177833.1,98.008,1456,29,0,10257,11712,10255,11710,0.0,2579
Z9864,EU177833.1,100.000,246,0,0,16094,16339,16092,16337,4.61e-124,455
Z9864,EU177833.1,100.000,170,0,0,1,170,1,170,8.16e-82,315
Z9864,EU177833.1,96.774,62,1,1,206,267,206,266,1.92e-18,104
Z9864,EU177833.1,98.276,58,1,0,15934,15991,15932,15989,6.92e-18,102
Z9864,MZ901482.1,99.588,4856,19,1,313,5168,312,5166,0.0,8889
Z9864,MZ901482.1,99.538,3248,15,0,5244,8491,5242,8489,0.0,5943
Z9864,MZ901482.1,99.040,2499,24,0,11746,14244,11744,14242,0.0,4525
Z9864,MZ901482.1,99.762,1681,4,0,8522,10202,8520,10200,0.0,3090
Z9864,MZ901482.1,99.874,1593,2,0,14302,15894,14300,15892,0.0,2931
Z9864,MZ901482.1,98.008,1456,29,0,10257,11712,10255,11710,0.0,2579
Z9864,MZ901482.1,100.000,246,0,0,16094,16339,16092,16337,4.61e-124,455
Z9864,MZ901482.1,100.000,170,0,0,1,170,1,170,8.16e-82,315
Z9864,MZ901482.1,100.000,58,0,0,15934,15991,15932,15989,1.49e-19,108
Z9864,MZ901482.1,96.774,62,1,1,206,267,206,266,1.92e-18,104
Z9864,OQ512990.1,99.568,4856,21,0,313,5168,312,5167,0.0,8887
Z9864,OQ512990.1,99.538,3248,15,0,5244,8491,5243,8490,0.0,5943
Z9864,OQ512990.1,99.080,2499,23,0,11746,14244,11745,14243,0.0,4530
Z9864,OQ512990.1,99.762,1681,4,0,8522,10202,8521,10201,0.0,3090
Z9864,OQ512990.1,100.000,1593,0,0,14302,15894,14301,15893,0.0,2942
Z9864,OQ512990.1,98.008,1456,29,0,10257,11712,10256,11711,0.0,2579
Z9864,OQ512990.1,99.593,246,1,0,16094,16339,16093,16338,2.14e-122,449
Z9864,OQ512990.1,100.000,170,0,0,1,170,1,170,8.16e-82,315
Z9864,OQ512990.1,100.000,58,0,0,15934,15991,15933,15990,1.49e-19,108
Z9864,OQ512990.1,96.774,62,1,1,206,267,206,266,1.92e-18,104
Z9864,GQ129207.1,99.568,4856,21,0,313,5168,313,5168,0.0,8885
Z9864,GQ129207.1,99.538,3248,15,0,5244,8491,5244,8491,0.0,5943
Z9864,GQ129207.1,99.080,2499,23,0,11746,14244,11746,14244,0.0,4530
Z9864,GQ129207.1,99.762,1681,4,0,8522,10202,8522,10202,0.0,3090
Z9864,GQ129207.1,100.000,1593,0,0,14302,15894,14302,15894,0.0,2942
Z9864,GQ129207.1,98.008,1456,29,0,10257,11712,10257,11712,0.0,2579
Z9864,GQ129207.1,99.593,246,1,0,16094,16339,16094,16339,2.14e-122,449
Z9864,GQ129207.1,100.000,165,0,0,1,165,1,165,4.91e-79,305
Z9864,GQ129207.1,98.387,62,1,0,206,267,206,267,1.15e-20,111
Z9864,GQ129207.1,100.000,58,0,0,15934,15991,15934,15991,1.49e-19,108
Z9864,OQ512994.1,99.568,4856,21,0,313,5168,312,5167,0.0,8885
Z9864,OQ512994.1,99.538,3248,15,0,5244,8491,5243,8490,0.0,5943
Z9864,OQ512994.1,99.080,2499,23,0,11746,14244,11745,14243,0.0,4530
Z9864,OQ512994.1,99.762,1681,4,0,8522,10202,8521,10201,0.0,3090
Z9864,OQ512994.1,100.000,1593,0,0,14302,15894,14301,15893,0.0,2942
Z9864,OQ512994.1,98.008,1456,29,0,10257,11712,10256,11711,0.0,2579
Z9864,OQ512994.1,99.593,246,1,0,16094,16339,16093,16338,2.14e-122,449
Z9864,OQ512994.1,100.000,170,0,0,1,170,1,170,8.16e-82,315
Z9864,OQ512994.1,100.000,58,0,0,15934,15991,15933,15990,1.49e-19,108
Z9864,OQ512994.1,96.774,62,1,1,206,267,206,266,1.92e-18,104
Z9864,OQ512993.1,99.568,4856,21,0,313,5168,312,5167,0.0,8885
Z9864,OQ512993.1,99.538,3248,15,0,5244,8491,5243,8490,0.0,5943
Z9864,OQ512993.1,99.080,2499,23,0,11746,14244,11745,14243,0.0,4530
Z9864,OQ512993.1,99.762,1681,4,0,8522,10202,8521,10201,0.0,3090
Z9864,OQ512993.1,100.000,1593,0,0,14302,15894,14301,15893,0.0,2942
Z9864,OQ512993.1,98.008,1456,29,0,10257,11712,10256,11711,0.0,2579
Z9864,OQ512993.1,99.593,246,1,0,16094,16339,16093,16338,2.14e-122,449
Z9864,OQ512993.1,100.000,170,0,0,1,170,1,170,8.16e-82,315
Z9864,OQ512993.1,100.000,58,0,0,15934,15991,15933,15990,1.49e-19,108
Z9864,OQ512993.1,96.774,62,1,1,206,267,206,266,1.92e-18,104
Z9864,OQ513044.1,99.568,4856,21,0,313,5168,313,5168,0.0,8885
Z9864,OQ513044.1,99.538,3248,15,0,5244,8491,5244,8491,0.0,5943
Z9864,OQ513044.1,99.040,2499,24,0,11746,14244,11746,14244,0.0,4525
Z9864,OQ513044.1,99.762,1681,4,0,8522,10202,8522,10202,0.0,3090
Z9864,OQ513044.1,100.000,1593,0,0,14302,15894,14302,15894,0.0,2942
Z9864,OQ513044.1,98.008,1456,29,0,10257,11712,10257,11712,0.0,2579
Z9864,OQ513044.1,99.187,246,2,0,16094,16339,16094,16339,9.97e-121,444
Z9864,OQ513044.1,100.000,170,0,0,1,170,1,170,8.16e-82,315
Z9864,OQ513044.1,98.387,62,1,0,206,267,206,267,1.15e-20,111
Z9864,OQ513044.1,100.000,58,0,0,15934,15991,15934,15991,1.49e-19,108


